Symbol,Name,Last,Std Dev,"Market Cap, $K",1Y Return,3Y Return,20D His Vol,Long Term,Exchange,%Chg,52W High,52W Low,Pivot
ACTA,Actua Corp,15.5,-0.64,501696000,27.46%,-17.02%,8.02%,67% Buy,NASDAQ,-0.64%,15.95,11.35,15.6
ACTG,Acacia Res-Acacia,4.05,-0.62,212520000,-33.74%,-76.67%,77.47%,67% Buy,NASDAQ,-3.57%,7.68,2.9,4.26
ACXM,Acxiom Cp,24.82,-1.26,1986239000,0.40%,33.33%,11.60%,67% Sell,NASDAQ,-1.19%,30.4,21.8,25.14
ADBE,Adobe Systems Inc,170.32,-0.03,84578648000,57.22%,144.69%,42.69%,100% Buy,NASDAQ,-0.73%,175.87,98,171.52
ADC,Agree Realty Corp,47.61,-3.37,1436455000,-1.77%,60.60%,14.27%,33% Sell,NYSE,-3.15%,51.5,41.01,49.12
ADI,Analog Devices,89.39,-1.01,33196926000,40.15%,81.96%,8.92%,100% Buy,NASDAQ,-1.00%,90.79,62.5,89.82
ADM,Archer Daniels Midland Company,42.97,-2.33,24599438000,1.06%,-6.96%,11.79%,67% Buy,NYSE,-1.74%,47.88,40.22,43.75
ADMS,Adamas Pharma,19.39,2.2,408106000,35.03%,19.04%,56.60%,67% Buy,NASDAQ,6.95%,24.18,12.1,18.1
ADNT,Adient Plc,83.5,-3.12,8051641000,83.85%,0.00%,13.55%,67% Buy,NYSE,-2.83%,86.42,39.66,85.85
ADP,Automatic Data Procs,115.32,-0.86,51757156000,32.30%,42.41%,11.15%,100% Buy,NASDAQ,-0.98%,121.77,86.53,116.61
ADRO,Aduro Biotech,8.43,-0.5,634185000,-29.41%,0.00%,37.33%,100% Sell,NASDAQ,-0.82%,15.52,8.35,8.68
ADS,Alliance Data Systems Corp,234.42,-1.25,13304104000,15.45%,-15.37%,23.58%,33% Sell,NYSE,-2.24%,266.25,198.06,239.89
ADSK,Autodesk Inc,118.5,-0.49,26147176000,66.54%,107.32%,12.15%,100% Buy,NASDAQ,-0.66%,121.88,67.15,118.93
ADSW,Advanced Disposal Services Inc,24.52,0.28,2166587000,23.89%,0.00%,16.87%,67% Buy,NYSE,0.33%,25.71,18.32,24.63
ADTN,Adtran Inc,21.38,-0.68,1032480000,13.26%,1.84%,26.99%,Hold,NASDAQ,-1.02%,25.1,17.55,21.65
ADUS,Addus Homecare Corpo,33.9,-1.11,401817000,28.95%,73.88%,27.09%,67% Sell,NASDAQ,-1.88%,40.75,24.4,34.17
ADXS,Advaxis Inc,3.16,-0.22,130808000,-62.44%,0.00%,57.32%,100% Sell,NASDAQ,-0.63%,10.88,3.11,3.26
AE,Adams Resources & Energy,41.77,-0.35,176269000,8.63%,-0.67%,35.35%,Hold,AMEX,-0.78%,46.66,32.8,41.89
AEE,Ameren Corp,60.99,-1.88,14977550000,24.39%,45.80%,10.20%,100% Buy,NYSE,-1.20%,61.82,46.97,61.65
AEGN,Aegion Corp,22.02,-0.85,742395000,16.64%,22.76%,34.39%,67% Buy,NASDAQ,-2.09%,26.68,17.85,22.61
AEIS,Advanced Energy,89.25,-1.75,3657705000,88.38%,362.99%,19.13%,100% Buy,NASDAQ,-2.54%,92.1,46.39,91.33
